taxon_name,aligned_name,family,taxon_rank,taxonomic_dataset,mdd_id,aligned_name_taxonomic_status,auth_species_citation,auth_species_id
Aethalops aequalis,Aethalops aequalis,Pteropodidae,Species,MDD_v2.1,1004357,accepted,"Allen, G.M. 1938. A new pygmy fruit Bat from Borneo. Journal of Mammalogy 19(4):496-498.",https://www.jstor.org/stable/1374243
Aethalops alecto,Aethalops alecto,Pteropodidae,Species,MDD_v2.1,1004358,accepted,"Thomas, O. 1923-01-31. On some small mammals, chiefly bats, from the East Indian Archipelago. Annals and Magazine of Natural History (9)11(62):250-255.",https://www.biodiversitylibrary.org/page/34355497
Alionycteris paucidentata,Alionycteris paucidentata,Pteropodidae,Species,MDD_v2.1,1004359,accepted,"Kock, D. 1969-11-28. Eine neue Gattung und Art cynopteriner Flughunde von Mindanao, Philippinen (Mammalia, Chiroptera). Senckenbergiana biologica 50(5-6):319-327.",
Balionycteris maculata,Balionycteris maculata,Pteropodidae,Species,MDD_v2.1,1004360,accepted,"Thomas, O. 1893-05-01. On some new Bornean mammalia. Annals and Magazine of Natural History (6)11(65):341-347.",https://www.biodiversitylibrary.org/page/24344683
Balionycteris seimundi,Balionycteris seimundi,Pteropodidae,Species,MDD_v2.1,1004361,accepted,"Kloss, C.B. 1921. Seven new Malaysian mammals. Journal of the Federated Malay States Museums 10:229-234.",https://www.biodiversitylibrary.org/page/19064272
Chironax melanocephalus,Chironax melanocephalus,Pteropodidae,Species,MDD_v2.1,1004362,accepted,"Temminck, C.J. 1825. Livraison 5. Pp. 157–204 in Temminck, C.J. 1827. Monographies de Mammalogie. G. Dufour et E. d'Ocagne, Paris, 268 pp.",https://www.biodiversitylibrary.org/page/52681336
Chironax tumulus,Chironax tumulus,Pteropodidae,Species,MDD_v2.1,1004363,accepted,"Bergmans, W. and Rozendaal, F.G. 1988. Notes on collections of fruit bats from Sulawesi and some off-lying islands (Mammalia, Megachiroptera). Zoologische Verhandelingen 248(1):1-74.",https://repository.naturalis.nl/pub/317853
Dyacopterus brooksi,Dyacopterus brooksi,Pteropodidae,Species,MDD_v2.1,1004364,accepted,"Thomas, O. 1920-03-01. Two new Asiatic bats of the genera _Tadarida_ and _Dyacopterus_. Annals and Magazine of Natural History (9)5(27):283-285.",https://www.biodiversitylibrary.org/page/18637053
Dyacopterus rickarti,Dyacopterus rickarti,Pteropodidae,Species,MDD_v2.1,1004365,accepted,"Helgen, K.M., Kock, D., Gomez, R.K.S.C., Ingle, N.R. and Sinaga, M.H. 2007-04-20. Taxonomy and natural history of the Southeast Asian fruit-bat genus _Dyacopterus_. Journal of Mammalogy 88(2):302-318.",https://doi.org/10.1644/06-MAMM-A-276R.1
Dyacopterus spadiceus,Dyacopterus spadiceus,Pteropodidae,Species,MDD_v2.1,1004366,accepted,"Thomas, O. 1890-03-01. Diagnosis of a new _Cynopterus_ from Borneo. Annals and Magazine of Natural History (6)5(27):235-236.",https://www.biodiversitylibrary.org/page/27523837
Haplonycteris fischeri,Haplonycteris fischeri,Pteropodidae,Species,MDD_v2.1,1004367,accepted,"Lawrence, B. 1939. Collections from the Philippine Islands. Mammals. Bulletin of the Museum of Comparative Zoology 86(2):28-73.",https://www.biodiversitylibrary.org/page/2775581
Latidens salimalii,Latidens salimalii,Pteropodidae,Species,MDD_v2.1,1004368,accepted,"Thonglongya, K. 1972. A new genus and species of fruit bat from South India (Chiroptera: Pteropodidae). Journal of the Bombay Natural History Society 69(1):151-158.",https://www.biodiversitylibrary.org/page/48288994
Otopteropus cartilagonodus,Otopteropus cartilagonodus,Pteropodidae,Species,MDD_v2.1,1004369,accepted,"Kock, D. 1969-11-21. Eine bemerkenswerte neue Gattung und Art Flaghunde von Luzon, Philippinen (Mammalia, Chiroptera). Senckenbergiana biologica 50(5-6):329-338.",
Penthetor lucasii,Penthetor lucasii,Pteropodidae,Species,MDD_v2.1,1004370,accepted,"Dobson, G.E. 1880-08-01. Description of a new species of _Cynopterus_ (Ptenochirus) from Saráwak. Annals and Magazine of Natural History (5)6(32):163-164.",https://www.biodiversitylibrary.org/page/25170388
Sphaerias blanfordi,Sphaerias blanfordi,Pteropodidae,Species,MDD_v2.1,1004371,accepted,"Thomas, O. 1891-06-25. Diagnoses of three new mammals collected by Signor L. Fea in the Carin Hills, Burma. Annali del Museo civico di storia naturale di Genova 30:884.",https://www.biodiversitylibrary.org/page/30150395
Thoopterus nigrescens,Thoopterus nigrescens,Pteropodidae,Species,MDD_v2.1,1004372,accepted,"Gray, J.E. 1871-01-14. Catalogue of monkeys, lemurs, and fruit-eating bats in the collection of the British Museum. British Museum, London, 137 pp.",https://www.biodiversitylibrary.org/page/9994640
Thoopterus suhaniahae,Thoopterus suhaniahae,Pteropodidae,Species,MDD_v2.1,1004373,accepted,"Maryanto, I., Yani, M., Prijono, S.N. and Wiantoro, S. 2012. A new species of fruit bat (Megachiroptera: Pteropodidae: _Thoopterus_) from Sulawesi and adjacent islands, Indonesia. Records of the Western Australian Museum 27:68-84.",https://www.biodiversitylibrary.org/page/59832697
Cynopterus brachyotis,Cynopterus brachyotis,Pteropodidae,Species,MDD_v2.1,1004374,accepted,"Müller, S. 1838. Over eenige nieuwe zoogdieren van Borneo. Tijdschrift voor Natuurlijke Geschiedenis en Physiologie 5(1-2):134-150.",https://www.biodiversitylibrary.org/page/13474930
Cynopterus horsfieldii,Cynopterus horsfieldii,Pteropodidae,Species,MDD_v2.1,1004375,accepted,"Gray, J.E. 1843-05-13. List of the Specimens of Mammalia in the Collection of the British Museum. British Museum, London, 216 pp.",https://www.biodiversitylibrary.org/page/53729633
Cynopterus luzoniensis,Cynopterus luzoniensis,Pteropodidae,Species,MDD_v2.1,1004376,accepted,"Peters, W.C.H. 1861. Hr. W. Peters berichtet über die von Hrn. F. Jagor bisher auf Malacca, Borneo, Java und den Philippinen gesammelten Säugethiere aus den Ordnungen der Halbaffen, Pelzflatterer und Flederthiere. Monatsberichte der Königlichen Preussischen Akademie der Wissenschaften zu Berlin 1861:706-712.",https://www.biodiversitylibrary.org/page/38646575
Cynopterus minutus,Cynopterus minutus,Pteropodidae,Species,MDD_v2.1,1004377,accepted,"Miller, G.S., Jr. 1906-05-01. Seven new Malayan bats. Proceedings of the Biological Society of Washington 19:61-65.",https://www.biodiversitylibrary.org/page/2348085
Cynopterus nusatenggara,Cynopterus nusatenggara,Pteropodidae,Species,MDD_v2.1,1004378,accepted,"Kitchener, D.J. and Maharadatunkamsi. 1991. Description of a new species of _Cynopterus_ (Chiroptera: Pteropodidae) from Nusa Tenggara, Indonesia. Records of the Western Australian Museum 15(2):307-363.",https://www.biodiversitylibrary.org/page/53885916
Cynopterus sphinx,Cynopterus sphinx,Pteropodidae,Species,MDD_v2.1,1004379,accepted,"Vahl, M. 1797. Beskrivelse paa tre nye Arter Flagermuse. Skrivter af Naturhistorie-Selskabet 4(1):121-138.",https://www.biodiversitylibrary.org/page/58273882
Cynopterus titthaecheilus,Cynopterus titthaecheilus,Pteropodidae,Species,MDD_v2.1,1004380,accepted,"Temminck, C.J. 1825. Livraison 5. Pp. 157–204 in Temminck, C.J. 1827. Monographies de Mammalogie. G. Dufour et E. d'Ocagne, Paris, 268 pp.",https://www.biodiversitylibrary.org/page/52681344
Megaerops albicollis,Megaerops albicollis,Pteropodidae,Species,MDD_v2.1,1004381,accepted,"Francis, C.M. 1989-12-01. Notes on fruit bats (Chiroptera, Pteropodidae) from Malaysia and Brunei, with the description of a new subspecies of _Megaerops wetmorei_ Taylor, 1934. Canadian Journal of Zoology 67(12):2878-2882.",https://doi.org/10.1139/z89-408
Megaerops ecaudatus,Megaerops ecaudatus,Pteropodidae,Species,MDD_v2.1,1004382,accepted,"Temminck, C.J. 1837. Livraison 2. Pp. 49–140 in Temminck, C.J. 1835-1841. Monographies de Mammalogie. Tome second. C. C. van der Hoek, Leiden, 392 pp.",https://archive.org/details/monographiedema00temmgoog
