Code,Class,Order,Suborder,Family,Subfamily,Genus,Species,SpeciesEpithet,HR_mean,Dispersal_Dist_mean,HeadBody_Length_mean,Tail_Length_mean,Forearm_Length_mean,Hindfoot_Length_mean,Length_tot_mean,Wing_Length_mean,Wing_Area_mean,Wingspan_mean,W_aspect_ratio_mean,W_loading_mean,BodyMass_mean,SexMaturity_Age_mean,HR_min,HeadBody_Length_min,Tail_Length_min,Forearm_Length_min,Hindfoot_Length_min,Length_tot_min,Wing_Length_min,Wing_Area_min,Wingspan_min,W_aspect_ratio_min,W_loading_min,BodyMass_min,SexMaturity_Age_min,HR_max,Dispersal_Dist_max,HeadBody_Length_max,Tail_Length_max,Forearm_Length_max,Hindfoot_Length_max,Length_tot_max,Wing_Length_max,Wing_Area_max,Wingspan_max,W_aspect_ratio_max,W_loading_max,BodyMass_max,SexMaturity_Age_max,sex
YIN010101001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Scotonycteris,zenkeri,Scotonycteris zenkeri,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010101002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Scotonycteris,occidentalis,Scotonycteris occidentalis,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010101003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Scotonycteris,bergmansi,Scotonycteris bergmansi,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010102001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Casinycteris,argynnis,Casinycteris argynnis,NA,NA,80,0,53,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010102002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Casinycteris,ophiodon,Casinycteris ophiodon,NA,NA,NA,0,76.5,NA,NA,NA,NA,NA,NA,NA,68.5,NA,NA,NA,0,74,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,0,79,NA,NA,NA,NA,NA,NA,NA,77,NA,male
YIN010102003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Casinycteris,campomaanensis,Casinycteris campomaanensis,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010103001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Rousettus,aegyptiacus,Rousettus aegyptiacus,NA,NA,136.8,17,95.9,NA,NA,NA,NA,628,NA,NA,130.5,NA,NA,125,13,82,NA,NA,NA,NA,550,NA,NA,88,NA,NA,NA,192,22,106,NA,NA,NA,NA,670,NA,NA,170,NA,male
YIN010103002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Rousettus,madagascariensis,Rousettus madagascariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010103003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Rousettus,obliviosus,Rousettus obliviosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010104001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Stenonycteris,lanosus,Stenonycteris lanosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
