"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Clutter","Clutter_Edge","Open"
"YIN010101001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","zenkeri","Scotonycteris_zenkeri",NA,NA,NA
"YIN010101002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","occidentalis","Scotonycteris_occidentalis",2,0,0
"YIN010101003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","bergmansi","Scotonycteris_bergmansi",NA,NA,NA
"YIN010102001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","argynnis","Casinycteris_argynnis",NA,NA,NA
"YIN010102002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","ophiodon","Casinycteris_ophiodon",2,0,0
"YIN010102003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","campomaanensis","Casinycteris_campomaanensis",NA,NA,NA
"YIN010103001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","aegyptiacus","Rousettus_aegyptiacus",NA,NA,NA
"YIN010103002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","madagascariensis","Rousettus_madagascariensis",2,0,0
"YIN010103003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","obliviosus","Rousettus_obliviosus",2,2,0
"YIN010104001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Stenonycteris","lanosus","Stenonycteris_lanosus",NA,NA,NA
"YIN010105001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Megaloglossus","azagnyi","Megaloglossus_azagnyi",2,0,0
"YIN010105002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Megaloglossus","woermanni","Megaloglossus_woermanni",NA,NA,NA
"YIN010106001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Lissonycteris","angolensis","Lissonycteris_angolensis",2,0,0
"YIN010107001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","torquata","Myonycteris_torquata",NA,NA,NA
"YIN010107002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","brachycephala","Myonycteris_brachycephala",NA,NA,NA
"YIN010107003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","leptodon","Myonycteris_leptodon",NA,NA,NA
"YIN010107004","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","relicta","Myonycteris_relicta",NA,NA,NA
"YIN010108001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Plerotes","anchietae","Plerotes_anchietae",NA,NA,NA
"YIN010109001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Hypsignathus","monstrosus","Hypsignathus_monstrosus",2,0,0
"YIN010110001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomops","franqueti","Epomops_franqueti",2,0,0
"YIN010110002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomops","buettikoferi","Epomops_buettikoferi",NA,NA,NA
"YIN010111001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Nanonycteris","veldkampii","Nanonycteris_veldkampii",NA,NA,NA
"YIN010112001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","gambianus","Epomophorus_gambianus",NA,NA,NA
"YIN010112002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","crypturus","Epomophorus_crypturus",NA,NA,NA
"YIN010112003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","angolensis","Epomophorus_angolensis",NA,NA,NA
"YIN010112004","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","labiatus","Epomophorus_labiatus",NA,NA,NA
"YIN010112005","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","minor","Epomophorus_minor",NA,NA,NA
"YIN010112006","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","anselli","Epomophorus_anselli",NA,NA,NA
"YIN010112007","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","wahlbergi","Epomophorus_wahlbergi",NA,NA,NA
"YIN010112008","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","dobsonii","Epomophorus_dobsonii",NA,NA,NA
"YIN010112009","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","grandis","Epomophorus_grandis",NA,NA,NA
"YIN010112010","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","pusillus","Epomophorus_pusillus",NA,NA,NA
"YIN010112011","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","intermedius","Epomophorus_intermedius",NA,NA,NA
"YIN010201001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Eidolinae","Eidolon","helvum","Eidolon_helvum",NA,NA,NA
"YIN010201002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Eidolinae","Eidolon","dupreanum","Eidolon_dupreanum",NA,NA,NA
"YIN010301001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","livingstonii","Pteropus_livingstonii",NA,NA,NA
"YIN010301002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","voeltzkowi","Pteropus_voeltzkowi",NA,NA,NA
