"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Seeds","Fruits","Leaves","Flowers","Nectar","Insects","Arachnids","Centipedes","Fishes","Amphibians","Reptiles","Birds","Mammals"
"YIN010101001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","zenkeri","Scotonycteris_zenkeri",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010101002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","occidentalis","Scotonycteris_occidentalis",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010101003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Scotonycteris","bergmansi","Scotonycteris_bergmansi",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010102001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","argynnis","Casinycteris_argynnis",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010102002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","ophiodon","Casinycteris_ophiodon",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010102003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Casinycteris","campomaanensis","Casinycteris_campomaanensis",0,2,0,0,0,0,0,0,0,0,0,0,0
"YIN010103001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","aegyptiacus","Rousettus_aegyptiacus",0,2,1,1,0,1,0,0,0,0,0,0,0
"YIN010103002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","madagascariensis","Rousettus_madagascariensis",0,2,1,1,2,0,0,0,0,0,0,0,0
"YIN010103003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Rousettus","obliviosus","Rousettus_obliviosus",0,2,1,1,1,0,0,0,0,0,0,0,0
"YIN010104001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Stenonycteris","lanosus","Stenonycteris_lanosus",0,2,0,0,2,0,0,0,0,0,0,0,0
