Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,taxon_name,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,390,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,0,0,0,1,Taxonomic,PHYLACINE 1.2,599.6,Assumed isometric based on forearm length,Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994),Acerodon_celebensis,Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994),Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,1075,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,0,0,0,1,Taxonomic,PHYLACINE 1.2,513.2,Assumed isometric based on forearm length,Fieldiana Zoology 69: 1-44 (1992),Acerodon_jubatus,Fieldiana Zoology 69: 1-44 (1992),Occurs only on isolated islands,VU,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2
Acerodon_mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,0,0,0,1,Taxonomic,PHYLACINE 1.2,470.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Aethalops_aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.6,Assumed isometric based on forearm length,Mammalia 57: 255-272 (1993),Aethalops_alecto,Mammalia 57:255-272 (1993),Occurs on large land bridge islands,LC,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Aethalops_alecto,Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,0,0,0,1,Taxonomic,PHYLACINE 1.2,15,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Alionycteris_paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,Alionycteris paucidentata,0,0,0,1,Taxonomic,PHYLACINE 1.2,16.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ametrida_centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,Ametrida centurio,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Amorphochilus_schnablii,Chiroptera,Furipteridae,Amorphochilus,schnablii,Amorphochilus schnablii,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
