...1,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,Short ref,Full ref,coordinateX-WGS84,coordinateY-WGS84
1,Barbastella_barbastellus,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_CR_(1437)",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Rebelo et al. (2012),"Rebelo, H., Froufe, E., Brito, J. C., Russo, D., Cistrone, L., Ferrand, N., & Jones, G. (2012). Postglacial colonization of Europe by the barbastelle bat: agreement between molecular data and past predictive modelling. Molecular Ecology, 21(11), 2761-2774.",NA,NA,NA,NA,NA,NA,NA
2,Barbastella_barbastellus,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,"Greece, Turkey",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA,NA,NA,NA,NA
3,Barbastella_barbastellus,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,"Greece, Turkey",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA,NA,NA,NA,NA
4,Barbastella_barbastellus,Karyotype,32,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,"Greece, Turkey",Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA,NA,NA,NA,NA
5,Eptesicus_anatolicus,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1_(1420)",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Juste et al. (2013),"Juste, J., Benda, P., Garciaâ€Mudarra, J. L., & Ibanez, C. (2013). Phylogeny and systematics of O ld W orld serotine bats (genus E ptesicus, V espertilionidae, C hiroptera): an integrative approach. Zoologica Scripta, 42(5), 441-457.",NA,NA,NA,NA,NA,NA,NA
6,Eptesicus_anatolicus,NF,52,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA,NA,NA,NA,NA
7,Eptesicus_anatolicus,NFa,48,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA,NA,NA,NA,NA
8,Eptesicus_anatolicus,Karyotype,50,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA,NA,NA,NA,NA
9,Eptesicus_bottae,Linage,4,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1_(1420)_",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Juste et al. (2013),"Juste, J., Benda, P., Garciaâ€Mudarra, J. L., & Ibanez, C. (2013). Phylogeny and systematics of O ld W orld serotine bats (genus E ptesicus, V espertilionidae, C hiroptera): an integrative approach. Zoologica Scripta, 42(5), 441-457.",NA,NA,NA,NA,NA,NA,NA
10,Eptesicus_isabellinus,GeneticPopulationStructure,1,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_12,Number_of_sub-populations,NA,NA,NA,NA,Spain,Centeno-Cuadros et al. (2019),"Centenoâ€Cuadros, A., Razgour, O., GarcÃ­aâ€Mudarra, J. L., Mingoâ€Casas, P., SandonÃ­s, V., Redondo, A., ... & Juste, J. (2019). Comparative phylogeography and asymmetric hybridization between cryptic bat species. Journal of Zoological Systematics and Evolutionary Research, 57(4), 1004-1018.",NA,NA,NA,NA,NA,NA,NA
