ID_register,ID_sp,Group,order,family,genus,binomial,body_mass,body_length,tail_length,forearm,age,sex,reproductive_stage,status,longitude,latitude,year,collector_name
1,1,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx kappleri,3,NA,NA,44.8,adult,female,NA,dead,-34.844269,-7.137682,2011,Anderson Feijo
2,1,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx kappleri,7,NA,NA,43.47,adult,male,NA,alive,-42.261961,-22.583797,2001,Marco Mello
3,1,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx kappleri,6,NA,NA,43.23,adult,male,NA,alive,-42.261961,-22.583797,2001,Marco Mello
4,2,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx leucoptera,7,NA,NA,42.65,adult,female,NA,alive,-35.184929,-6.086251,2012,Mar人ia A. S. Barros
5,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,41.5,adult,male,NA,dead,-35.46058,-8.577669,2013,Anderson Feijo
6,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,41.7,adult,male,NA,dead,-35.285834,-8.492094,2013,Anderson Feijo
7,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,47.4,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
8,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,45.1,adult,male,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
9,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,45.4,adult,male,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
10,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,5,NA,NA,46.5,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
11,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,45.8,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
12,3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,6,NA,NA,45.6,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
13,4,Bats,Chiroptera,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,6,NA,NA,37.98,adult,male,NA,alive,-42.631058,-19.764111,2014,Marco Mello
14,4,Bats,Chiroptera,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,5,NA,NA,39.08,adult,male,NA,alive,-42.631058,-19.764111,2014,Marco Mello
15,5,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,5.5,NA,NA,41.1,adult,male,NA,alive,-39.132222,-15.173056,1997,Deborah Faria & Julio Baumgarten
16,5,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,7,NA,NA,NA,adult,female,pregnant,alive,-39.132222,-15.173056,1997,Deborah Faria & Julio Baumgarten
17,5,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,4.5,NA,NA,38.4,adult,male,NA,alive,-39.132222,-15.173056,1999,Deborah Faria & Julio Baumgarten
18,5,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,5.5,NA,NA,39.6,adult,male,NA,alive,-39.132222,-15.173056,1999,Deborah Faria & Julio Baumgarten
19,6,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx leptura,2.5,NA,NA,35,adult,male,NA,dead,-35.46058,-8.577669,2013,Anderson Feijo
20,6,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx leptura,NA,NA,NA,42.42,adult,female,NA,dead,-46.4166,-23.8666,1941,Araujo
21,6,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx leptura,NA,NA,NA,41.76,adult,male,NA,dead,-45.9,-23.65,1961,Emilio Dente
22,6,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx leptura,NA,NA,NA,41.87,adult,female,NA,dead,-42.6333,-19.5166,1940,NA
23,7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,4,NA,NA,36,adult,male,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
24,7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,5,NA,NA,36,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
25,7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,3,NA,NA,37.5,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
26,7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,4,NA,NA,37,adult,female,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
27,7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,4,NA,NA,36,adult,male,NA,alive,-48.27359,-24.308772,1999,Fernando C. Passos
